,Image,RAM_Tags,YOLO_Tags
103,1526.jpg,person | intersection | load | man | moped | motorbike | motorcycle | push | ride | road | scooter | vespa,"3 person, 11 car, 2 motorcycle, 1 traffic light"
104,1540.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 9 car, 1 traffic light"
105,1554.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 9 car, 1 traffic light"
106,1568.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 7 car, 1 traffic light"
107,1582.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 12 car, 1 traffic light"
108,1596.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 8 car, 1 traffic light"
109,1610.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | motorcycle | road | street corner,"5 person, 11 car, 1 traffic light"
110,1624.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole cover | moped | motorbike | motorcycle | motorcyclist | ride | road | scooter | street corner,"4 person, 10 car, 1 traffic light"
111,1638.jpg,car | city street | crack | cross | crosswalk | drain | person | intersection | man | manhole cover | road | street corner | walk,"6 person, 10 car, 1 motorcycle, 1 traffic light"
112,1652.jpg,car | city street | crack | cross | crosswalk | drain | person | intersection | man | road | skateboarder | street corner | walk,"4 person, 5 car, 1 traffic light"
113,1666.jpg,car | city street | crack | cross | crosswalk | drain | person | intersection | man | manhole cover | road | street corner | walk,"3 person, 11 car, 1 traffic light"
114,1680.jpg,car | city street | crack | cross | crosswalk | drain | person | intersection | man | manhole cover | road | street corner | walk,"1 person, 12 car, 1 traffic light"
115,1694.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"2 person, 11 car, 1 traffic light"
116,1708.jpg,car | city street | crack | cross | crosswalk | curb | drain | person | intersection | man | manhole | manhole cover | road | street corner | walk,"2 person, 13 car, 1 traffic light"
117,1722.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole cover | park | road | street corner,"3 person, 11 car, 1 traffic light"
118,1736.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole cover | road | street corner | walk,"5 person, 12 car, 1 traffic light"
119,1750.jpg,car | city street | crack | crosswalk | curb | drain | person | intersection | man | manhole cover | road | street corner | walk,"3 person, 15 car, 1 traffic light"
120,1764.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 9 car, 1 traffic light"
